,index,product_id,category_id,subcategory_id,manufacturer_id,selling_price_per_unit
10299,6659779,2279088,1123136,1132320,1134560,0.0
10300,6660026,1383536,1122688,1125600,1127616,340.0
10301,6669082,2308096,1123136,1134784,1120224,0.0
10302,6672556,2199792,1122576,1125376,1126048,32.0
10303,6681358,2033696,1123024,1127952,1133440,0.0
10304,6681717,1517824,1123024,1128288,1124368,78.6
10305,6681997,2276064,1123136,1132320,1134560,0.0
10306,6686908,2443616,1124480,1137360,1168272,0.0
10307,6687712,2189712,1122800,1134448,1150016,35.71
10308,6697545,2199344,1123024,1127728,1136688,125.45
10309,6702251,1795360,1123024,1127952,1123024,499.16
10310,6702862,1988896,1123136,1132320,1126720,189.0
10311,6703453,2451120,1123248,1129632,1123472,0.0
10312,6706069,2471504,1123248,1129632,1126720,0.0
10313,6709825,1978592,1123248,1126048,1128400,107.27
10314,6713986,2173920,1123024,1128064,1149232,187.5
10315,6714044,1562624,1123136,1132320,1127952,276.25
10316,6726450,1833888,1123024,1127728,1144192,286.4
10317,6734202,2396240,1122800,1134896,1125040,0.0
10318,6746321,1389360,1123248,1126048,1140496,125.0
10319,6759533,1820112,1123024,1127952,1143408,69.16
10320,6760483,2488528,1124144,1135232,1159088,191.1
10321,6780383,2012864,1122464,1124480,1127280,54.0
10322,6780770,2531200,1123024,1127840,1139600,0.0
10323,6788448,2548000,1123136,1132320,1134560,95.0
10324,6795318,1837696,1123024,1127728,1140496,35.96
10325,6816359,2388064,1123248,1129520,1124256,18.63
10326,6818950,1972768,1124480,1126160,1140496,0.0
10327,6821863,2553712,1123024,1128176,1136352,0.0
10328,6834971,2707376,1122800,1126720,1158864,211.25
10329,6837579,2530976,1123024,1127840,1139600,0.0
10330,6846697,2711520,1122800,1126720,1180144,0.0
10331,6852069,2708720,1123248,1129632,1157520,168.0
10332,6852782,2713424,1122912,1127280,1180368,187.99
10333,6853743,2754080,1122800,1126720,1158864,97.5
10334,6855038,2202928,1123248,1129632,1129184,0.0
10335,6855669,2713648,1122912,1127280,1180368,206.0
10336,6856310,2753856,1123248,1129632,1125040,0.0
10337,6856874,1891232,1122912,1135120,1122912,361.0
10338,6857197,2680384,1122912,1127392,1122912,242.25
