,customer_id,Recency_flag,monetary_flag
17297,17736544,5,1
17303,17742480,5,1
17311,17751552,5,1
17326,17785040,5,1
17334,17792656,5,1
17340,17797360,5,1
17350,17816288,5,1
17360,17827488,5,1
17376,17848656,5,1
17397,17892672,5,1
17407,17902192,5,1
17415,17908352,5,1
17439,17927280,5,1
17440,17929520,5,1
17443,17931312,5,1
17452,17940720,5,1
17453,17946208,5,1
17459,17953824,5,1
17464,17959872,5,1
17474,17977456,5,1
17477,17979584,5,1
17480,17983616,5,1
17481,17984064,5,1
17490,17990896,5,1
17497,17997616,5,1
17499,18000192,5,1
17501,18002208,5,1
17511,18009152,5,1
17513,18011504,5,1
17527,18024048,5,1
17538,18043984,5,1
17543,18048016,5,1
17561,18077360,5,1
17570,18087664,5,1
17601,18119360,5,1
17604,18122720,5,1
17623,18139408,5,1
17630,18149712,5,1
17639,18158672,5,1
17647,18169088,5,1
17652,18179056,5,1
17673,18198544,5,1
17674,18199104,5,1
17679,18205712,5,1
17708,18239984,5,1
17711,18242784,5,1
17717,18247152,5,1
17766,18311216,5,1
17773,18316592,5,1
17781,18322416,5,1
17793,18337312,5,1
17794,18337648,5,1
17797,18338096,5,1
17799,18339328,5,1
17802,18340784,5,1
17809,18344816,5,1
17816,18352432,5,1
17817,18353440,5,1
17843,18388384,5,1
17849,18392640,5,1
17856,18399808,5,1
17863,18406528,5,1
17867,18412912,5,1
17870,18416272,5,1
17894,18447744,5,1
17897,18449984,5,1
17904,18460400,5,1
17922,18480336,5,1
17937,18493328,5,1
17939,18496016,5,1
17946,18502736,5,1
17964,18524688,5,1
17968,18528944,5,1
17973,18539248,5,1
17975,18540032,5,1
17983,18549776,5,1
17984,18550560,5,1
17987,18552688,5,1
17995,18560416,5,1
17998,18563440,5,1
18013,18578336,5,1
18022,18593456,5,1
18027,18597376,5,1
18031,18601744,5,1
18038,18616416,5,1
18053,18629632,5,1
18073,18652592,5,1
18077,18654496,5,1
18078,18655952,5,1
18080,18656848,5,1
18082,18661776,5,1
18108,18692912,5,1
18114,18707024,5,1
18119,18715536,5,1
18130,18725168,5,1
18154,18742304,5,1
18179,18771200,5,1
18181,18773216,5,1
18186,18779040,5,1
18189,18781952,5,1
18203,18799984,5,1
18213,18812864,5,1
18214,18813312,5,1
