,level_0,index,Sub_flag,subscription,customer_id,Recency_flag,Refreq,points
18136,27412,25677,4,1,33584096,1,5,20
18137,27444,27902,4,1,33669104,5,5,11
18138,27448,28338,4,1,33673584,5,0,1
18139,27474,2570,4,1,33741008,5,5,15
18140,27509,10210,4,1,33812128,5,5,11
18141,27561,23672,4,1,33920096,4,0,15
18142,27590,29002,4,1,33981136,4,5,7
18143,27603,2463,4,1,34007344,5,0,1
18144,27624,7596,4,1,34073648,5,3,4
18145,27625,7641,4,1,34081264,1,5,9
18146,27656,12775,4,1,34146000,5,5,8
18147,27701,20995,4,1,34229664,4,0,4
18148,27725,25209,4,1,34272000,5,0,2
18149,27736,26972,4,1,34300224,5,0,4
18150,27756,28600,4,1,34358240,5,0,10
18151,27810,12138,4,1,34518288,5,4,7
18152,27838,26011,4,1,34618416,5,4,9
18153,27852,28111,4,1,34653248,4,5,9
18154,27853,28208,4,1,34655824,2,5,15
18155,27866,849,4,1,34689088,5,0,3
18156,27913,6426,4,1,34825056,5,5,9
18157,27937,8947,4,1,34882624,4,5,11
18158,27952,10300,4,1,34928880,5,5,20
18159,27988,13558,4,1,35013328,5,0,1
